disease,entrez_id
"diabetes mellitus, type 1",7148
"diabetes mellitus, type 1",114904
"diabetes mellitus, type 1",644020
"diabetes mellitus, type 1",139716
"diabetes mellitus, type 1",430
"diabetes mellitus, type 1",100271600
"diabetes mellitus, type 1",629
"diabetes mellitus, type 1",10554
"diabetes mellitus, type 1",3559
"diabetes mellitus, type 1",283598
"diabetes mellitus, type 1",100271271
"diabetes mellitus, type 1",6927
"diabetes mellitus, type 1",100270925
"diabetes mellitus, type 1",7917
"diabetes mellitus, type 1",7916
"diabetes mellitus, type 1",23242
"diabetes mellitus, type 1",22979
"diabetes mellitus, type 1",80069
"diabetes mellitus, type 1",3516
"diabetes mellitus, type 1",387103
"diabetes mellitus, type 1",55315
"diabetes mellitus, type 1",115352
"diabetes mellitus, type 1",1504
"diabetes mellitus, type 1",6048
"diabetes mellitus, type 1",25865
"diabetes mellitus, type 1",388011
"diabetes mellitus, type 1",346171
"diabetes mellitus, type 1",4276
"diabetes mellitus, type 1",7297
"diabetes mellitus, type 1",64135
"diabetes mellitus, type 1",10019
"diabetes mellitus, type 1",3172
"diabetes mellitus, type 1",6753
"diabetes mellitus, type 1",55384
"diabetes mellitus, type 1",969
"diabetes mellitus, type 1",8935
"diabetes mellitus, type 1",1512
"diabetes mellitus, type 1",53347
"diabetes mellitus, type 1",54665
"diabetes mellitus, type 1",3630
"diabetes mellitus, type 1",729816
"diabetes mellitus, type 1",6891
"diabetes mellitus, type 1",6890
"diabetes mellitus, type 1",4277
"diabetes mellitus, type 1",55876
"diabetes mellitus, type 1",4008
"diabetes mellitus, type 1",3109
"diabetes mellitus, type 1",26191
"diabetes mellitus, type 1",3107
"diabetes mellitus, type 1",60468
"diabetes mellitus, type 1",3481
"diabetes mellitus, type 1",3976
"diabetes mellitus, type 1",100271063
"diabetes mellitus, type 1",26797
"diabetes mellitus, type 1",3119
"diabetes mellitus, type 1",3118
"diabetes mellitus, type 1",3117
"diabetes mellitus, type 1",6231
"diabetes mellitus, type 1",3112
"diabetes mellitus, type 1",8859
"diabetes mellitus, type 1",80018
"diabetes mellitus, type 1",4855
"diabetes mellitus, type 1",84162
"diabetes mellitus, type 1",7466
"diabetes mellitus, type 1",399716
cardiomegaly,10060
cardiomegaly,120114
cardiomegaly,1308
cardiomegaly,9531
cardiomegaly,7139
cardiomegaly,7112
cardiomegaly,88
cardiomegaly,5664
cardiomegaly,131118
cardiomegaly,6389
cardiomegaly,7134
cardiomegaly,7137
cardiomegaly,11155
cardiomegaly,5350
cardiomegaly,4000
cardiomegaly,25771
cardiomegaly,121536
cardiomegaly,7414
cardiomegaly,1674
cardiomegaly,1756
cardiomegaly,55742
cardiomegaly,2070
cardiomegaly,5663
cardiomegaly,8048
cardiomegaly,6444
cardiomegaly,4624
cardiomegaly,4625
cardiomegaly,70
cardiomegaly,7273
cardiomegaly,7168
cardiomegaly,1829
cardiomegaly,2218
cardiomegaly,282996
cardiomegaly,7709
cardiomegaly,25817
cardiomegaly,6331
cardiomegaly,8557
cardiomegaly,91624
anemia,6218
anemia,212
anemia,79728
anemia,629
anemia,3426
anemia,6125
anemia,6708
anemia,3040
anemia,3043
anemia,7015
anemia,6165
anemia,2821
anemia,5277
anemia,146059
anemia,22
anemia,1719
anemia,7056
anemia,6204
anemia,6223
anemia,2035
anemia,546
anemia,2177
anemia,2175
anemia,2176
anemia,2178
anemia,6229
anemia,4891
anemia,100505503
anemia,10661
anemia,2623
anemia,203
anemia,6201
anemia,718
anemia,50943
anemia,55215
anemia,6521
anemia,10560
anemia,2187
anemia,2729
anemia,286
anemia,2189
anemia,81693
anemia,3704
anemia,4683
anemia,8029
anemia,10483
anemia,3039
anemia,55120
anemia,3458
anemia,4179
anemia,51251
anemia,6135
anemia,164656
anemia,6710
anemia,2539
anemia,80324
anemia,3098
anemia,2038
anemia,6231
anemia,81494
anemia,3075
prostatic diseases,5010
prostatic diseases,100128390
prostatic diseases,2677
prostatic diseases,387934
prostatic diseases,6582
prostatic diseases,728484
prostatic diseases,4609
prostatic diseases,60528
prostatic diseases,6498
prostatic diseases,646255
prostatic diseases,401237
prostatic diseases,401475
prostatic diseases,100271372
prostatic diseases,402123
prostatic diseases,6928
prostatic diseases,391679
prostatic diseases,23301
prostatic diseases,3655
prostatic diseases,222546
prostatic diseases,22834
prostatic diseases,4477
prostatic diseases,94274
prostatic diseases,8193
prostatic diseases,5728
prostatic diseases,7015
prostatic diseases,26579
prostatic diseases,6662
prostatic diseases,100270871
prostatic diseases,4824
prostatic diseases,58472
prostatic diseases,653268
prostatic diseases,22853
prostatic diseases,7054
prostatic diseases,153572
prostatic diseases,8673
prostatic diseases,4983
prostatic diseases,6041
prostatic diseases,2263
prostatic diseases,80319
prostatic diseases,50805
prostatic diseases,253461
prostatic diseases,1316
prostatic diseases,6581
prostatic diseases,6580
prostatic diseases,3817
prostatic diseases,84075
prostatic diseases,638
prostatic diseases,55190
prostatic diseases,79083
prostatic diseases,7399
prostatic diseases,196374
prostatic diseases,100189492
prostatic diseases,354
prostatic diseases,5462
prostatic diseases,100271222
prostatic diseases,1293
prostatic diseases,60678
prostatic diseases,54790
prostatic diseases,389136
prostatic diseases,219931
prostatic diseases,11278
prostatic diseases,4601
prostatic diseases,7337
prostatic diseases,84790
prostatic diseases,80031
